anio,nacionalidad,nacimientos
2024,Espaniola,236666
2023,Espaniola,242326
2022,Espaniola,253382
2021,Espaniola,265084
2020,Espaniola,264128
2019,Espaniola,280047
2018,Espaniola,295338
2017,Espaniola,317121
2016,Espaniola,334596
2015,Espaniola,344974
2014,Espaniola,351306
2013,Espaniola,346599
2012,Espaniola,367197
2011,Espaniola,379909
2010,Espaniola,386563
2009,Espaniola,392411
2024,Extranjera,81339
2023,Extranjera,78330
2022,Extranjera,75869
2021,Extranjera,72296
2020,Extranjera,77187
2019,Extranjera,80570
2018,Extranjera,77439
2017,Extranjera,76060
2016,Extranjera,75987
2015,Extranjera,75316
2014,Extranjera,76289
2013,Extranjera,79116
2012,Extranjera,87451
2011,Extranjera,92090
2010,Extranjera,100012
2009,Extranjera,102586

