anio,nacionalidad,tfr
2024,Espaniola,27.56
2023,Espaniola,28.08
2022,Espaniola,29.21
2021,Espaniola,30.28
2020,Espaniola,29.92
2019,Espaniola,31.39
2018,Espaniola,32.77
2017,Espaniola,34.77
2016,Espaniola,36.24
2015,Espaniola,36.97
2014,Espaniola,37.20
2013,Espaniola,36.47
2012,Espaniola,38.28
2011,Espaniola,39.28
2010,Espaniola,39.70
2009,Espaniola,40.07
2008,Espaniola,41.70
2007,Espaniola,40.24
2006,Espaniola,40.47
2005,Espaniola,39.65
2004,Espaniola,39.13
2003,Espaniola,38.64
2002,Espaniola,37.22
2024,Extranjera,39.09
2023,Extranjera,39.75
2022,Extranjera,42.00
2021,Extranjera,42.42
2020,Extranjera,45.55
2019,Extranjera,49.58
2018,Extranjera,51.12
2017,Extranjera,52.76
2016,Extranjera,53.45
2015,Extranjera,52.25
2014,Extranjera,51.62
2013,Extranjera,49.16
2012,Extranjera,51.03
2011,Extranjera,52.26
2010,Extranjera,55.90
2009,Extranjera,56.38
2008,Extranjera,61.58
2007,Extranjera,58.08
2006,Extranjera,57.07
2005,Extranjera,56.30
2004,Extranjera,59.61
2003,Extranjera,60.29
2002,Extranjera,63.33
